ms,degC
2021,33.80
4045,34.20
6068,34.20
8090,34.20
10113,34.30
12137,34.70
14159,34.70
16182,34.70
18204,34.70
20229,34.70
22251,34.70
24273,35.20
26297,35.20
28321,35.20
30345,35.20
32367,35.20
-31146,35.20
-29124,35.20
-27101,35.20
-25076,35.20
-23054,35.60
-21031,35.60
-19009,35.60
-16985,35.60
-14962,35.60
-12940,35.60
-10917,35.60
-8893,35.60
-6871,35.60
-4848,35.60
-2826,35.60
-801,35.60
1222,35.60
3245,35.60
5267,35.70
7289,36.30
9314,36.30
11337,36.30
13360,36.30
15382,36.30
17404,36.30
19429,36.30
21452,36.30
23475,36.30
25497,36.30
27520,36.30
29544,36.30
31567,36.30
-31946,36.30
-29924,36.30
